# Species	Genes	Alg.-Conn.	GCA_040366825.1.faa	GCA_040367275.1.faa	GCA_040368535.1.faa	GCA_040369685.1.faa	GCA_040370845.1.faa	GCA_040371445.1.faa	GCA_040372445.1.faa	GCA_040373035.1.faa	GCA_040373105.1.faa	GCA_040373215.1.faa	GCA_040373345.1.faa	GCA_040374935.1.faa	GCA_040377535.1.faa	GCA_040380425.1.faa	GCA_040383235.1.faa	GCA_040385865.1.faa	GCA_040388595.1.faa	GCA_040391575.1.faa	GCA_040394165.1.faa	GCA_040397295.1.faa	GCA_040400385.1.faa	GCA_040403735.1.faa	GCA_040404325.1.faa	GCA_040404335.1.faa	GCA_040404365.1.faa	GCA_040404415.1.faa	GCA_040404485.1.faa	GCA_040404575.1.faa	GCA_040404645.1.faa
29	79	0.193	XCB74954.1	XCB76699.1,XCB77034.1,XCB78017.1	XCB79014.1,XCB78681.1,XCB80005.1	XCB81006.1,XCB80672.1	XCB84058.1	XCB85090.1,XCB86085.1,XCB84757.1	XCB88008.1,XCB87099.1	XCB89138.1,XCB88905.1,XCB90223.1	XCB91158.1,XCB92152.1,XCB90826.1	XCB94545.1,XCB93150.1,XCB94062.1	XCB94831.1,XCB95168.1,XCB96169.1	XCB97520.1,XCB98310.1,XCB96989.1	XCB99211.1,XCC00197.1,XCB98880.1	XCC00913.1,XCC01248.1,XCC02249.1	XCC02848.1,XCC04225.1,XCC03328.1	XCC06252.1,XCC06732.1,XCC05352.1	XCC08366.1,XCC07040.1,XCC07374.1	XCC10412.1,XCC09419.1,XCC09087.1	XCC11116.1,XCC12438.1,XCC11547.1	XCC14500.1,XCC13499.1,XCC13166.1	XCC15291.1,XCC15609.1,XCC16603.1	XCC17651.1,XCC18637.1,XCC17321.1	XCC19643.1,XCC21025.1,XCC20547.1	XCC21303.1,XCC21622.1,XCC22616.1	XCC24589.1,XCC23283.1,XCC23697.1	XCC27084.1,XCC26599.1,XCC25685.1	XCC28630.1,XCC27688.1,XCC29106.1	XCC29316.1,XCC29731.1,XCC30644.1	XCC31794.1
29	77	0.212	XCB74652.1	XCB77708.1,XCB77043.1,XCB76730.1	XCB78715.1,XCB79043.1	XCB81015.1,XCB81048.1,XCB80700.1	XCB83062.1,XCB83096.1,XCB82751.1	XCB85118.1,XCB85097.1,XCB84789.1	XCB86719.1,XCB86805.1,XCB87106.1	XCB90190.1,XCB89162.1,XCB89144.1	XCB91187.1,XCB91166.1,XCB90858.1	XCB92849.1,XCB92765.1,XCB93158.1	XCB95197.1,XCB95176.1,XCB94863.1	XCB98197.1,XCB98278.1,XCB97511.1	XCB98910.1	XCC01913.1,XCC01935.1,XCC01217.1	XCC02983.1,XCC02895.1,XCC02876.1	XCC05060.1,XCC05359.1,XCC04977.1	XCC07382.1,XCC07416.1,XCC07070.1	XCC09115.1	XCC11145.1,XCC11250.1,XCC11553.1	XCC13507.1,XCC13594.1,XCC13194.1	XCC15639.1,XCC15618.1,XCC15319.1	XCC17658.1,XCC17350.1	XCC19340.1,XCC19652.1,XCC19255.1	XCC21650.1,XCC21630.1,XCC21330.1	XCC23706.1	XCC25378.1,XCC25294.1,XCC25693.1	XCC27421.1,XCC27697.1,XCC27335.1	XCC29430.1,XCC29346.1,XCC29739.1	XCC31372.1,XCC31803.1,XCC31456.1
29	76	0.173	XCB74985.1,XCB74964.1,XCB74654.1	XCB77706.1,XCB77045.1,XCB76732.1	XCB78717.1,XCB79045.1,XCB79024.1	XCB81017.1,XCB81050.1,XCB80702.1	XCB83064.1,XCB83098.1,XCB82753.1	XCB85120.1,XCB85099.1,XCB84791.1	XCB86721.1,XCB86807.1,XCB87108.1	XCB90188.1,XCB89164.1	XCB91189.1,XCB91168.1,XCB90860.1	XCB93160.1	XCB95199.1,XCB95178.1,XCB94865.1	XCB97509.1	XCB99242.1,XCB99221.1	XCC01911.1,XCC01933.1,XCC01215.1	XCC02897.1,XCC02985.1	XCC05361.1	XCC07384.1,XCC07418.1,XCC07072.1	XCC09450.1,XCC09429.1,XCC09117.1	XCC11147.1,XCC11252.1,XCC11555.1	XCC13509.1,XCC13596.1,XCC13196.1	XCC15641.1,XCC15620.1,XCC15321.1	XCC17680.1,XCC17660.1,XCC17352.1	XCC19342.1,XCC19654.1,XCC19257.1	XCC21652.1,XCC21632.1,XCC21332.1	XCC23708.1,XCC23316.1,XCC23402.1	XCC25695.1	XCC27423.1,XCC27337.1,XCC27699.1	XCC29432.1,XCC29348.1,XCC29741.1	XCC31805.1,XCC31374.1,XCC31458.1
29	74	0.243	XCB75939.1,XCB74940.1,XCB74632.1	XCB77020.1,XCB76710.1,XCB78006.1	XCB78696.1,XCB79000.1,XCB79993.1	XCB81986.1,XCB80991.1,XCB80681.1	XCB83040.1,XCB82734.1,XCB84047.1	XCB84771.1,XCB85076.1,XCB86072.1	XCB87090.1,XCB87995.1,XCB86699.1	XCB90209.1,XCB89127.1,XCB88916.1	XCB90839.1,XCB91144.1,XCB92141.1	XCB93134.1,XCB92746.1,XCB94050.1	XCB95154.1,XCB94845.1,XCB96157.1	XCB98297.1,XCB96999.1,XCB97534.1	XCB98891.1,XCB99199.1,XCC00186.1	XCC01236.1,XCC02234.1,XCC00925.1	XCC02857.1	XCC06744.1,XCC05337.1,XCC06243.1	XCC07360.1,XCC07052.1,XCC08353.1	XCC09405.1,XCC09096.1,XCC10400.1	XCC11531.1,XCC11128.1,XCC12428.1	XCC13176.1	XCC15300.1,XCC16591.1,XCC15594.1	XCC17333.1,XCC18623.1,XCC17640.1	XCC20534.1,XCC19235.1	XCC21312.1,XCC21608.1,XCC22604.1	XCC23294.1	XCC25668.1,XCC26587.1,XCC27098.1	XCC29117.1	XCC29327.1	XCC31352.1
29	73	0.209	XCB75940.1,XCB74941.1	XCB77021.1,XCB76709.1,XCB78007.1	XCB78695.1,XCB79001.1,XCB79994.1	XCB81987.1,XCB80992.1,XCB80680.1	XCB83041.1,XCB82733.1,XCB84048.1	XCB84770.1,XCB86073.1,XCB85077.1	XCB87091.1,XCB87996.1,XCB86698.1	XCB90210.1,XCB89128.1,XCB88915.1	XCB91145.1,XCB90838.1,XCB92142.1	XCB93135.1,XCB92745.1,XCB94051.1	XCB94844.1,XCB95155.1,XCB96158.1	XCB96998.1,XCB98298.1,XCB97533.1	XCB98890.1,XCB99200.1,XCC00187.1	XCC02235.1,XCC01237.1,XCC00924.1	XCC02856.1	XCC06743.1,XCC05338.1,XCC06244.1	XCC07361.1,XCC07051.1,XCC08354.1	XCC09406.1,XCC09095.1,XCC10401.1	XCC11532.1,XCC11127.1,XCC12429.1	XCC13175.1	XCC15299.1,XCC16592.1,XCC15595.1	XCC17332.1,XCC18624.1,XCC17641.1	XCC20535.1,XCC19234.1	XCC21311.1,XCC22605.1,XCC21609.1	XCC23293.1	XCC25669.1,XCC26588.1,XCC27097.1	XCC29116.1	XCC29326.1	XCC31351.1
29	60	0.195	XCB74947.1,XCB75944.1,XCB74625.1	XCB76706.1,XCB77027.1	XCB79998.1,XCB79007.1	XCB81991.1,XCB80998.1	XCB82730.1	XCB86077.1,XCB84764.1	XCB88000.1	XCB88912.1	XCB90834.1	XCB94055.1,XCB94552.1,XCB93143.1	XCB96162.1,XCB94838.1	XCB96994.1,XCB97525.1,XCB98304.1	XCB99204.1,XCB98887.1	XCC00920.1,XCC01241.1,XCC02241.1	XCC04217.1,XCC03320.1	XCC06739.1,XCC05345.1	XCC07048.1,XCC08360.1	XCC10405.1,XCC09412.1	XCC11123.1,XCC11540.1	XCC14493.1,XCC13492.1	XCC16596.1,XCC15602.1	XCC17328.1	XCC20540.1,XCC19636.1	XCC22609.1,XCC21615.1	XCC23290.1,XCC23689.1	XCC26592.1,XCC27091.1,XCC25677.1	XCC29113.1,XCC27681.1,XCC28623.1	XCC29323.1,XCC29724.1,XCC30637.1	XCC32708.1,XCC31787.1
29	60	0.195	XCB74948.1,XCB75945.1,XCB74624.1	XCB76705.1,XCB77028.1	XCB79999.1,XCB79008.1	XCB81992.1,XCB80999.1	XCB82729.1	XCB86078.1,XCB84763.1	XCB88001.1	XCB88911.1	XCB90833.1	XCB94056.1,XCB94551.1,XCB93144.1	XCB96163.1,XCB94837.1	XCB96993.1,XCB97524.1,XCB98305.1	XCB99205.1,XCB98886.1	XCC00919.1,XCC01242.1,XCC02242.1	XCC04218.1,XCC03321.1	XCC05346.1,XCC06738.1	XCC07047.1,XCC08361.1	XCC10406.1,XCC09413.1	XCC11122.1,XCC11541.1	XCC14494.1,XCC13493.1	XCC16597.1,XCC15603.1	XCC17327.1	XCC20541.1,XCC19637.1	XCC22610.1,XCC21616.1	XCC23289.1,XCC23690.1	XCC26593.1,XCC27090.1,XCC25678.1	XCC29112.1,XCC27682.1,XCC28624.1	XCC29322.1,XCC29725.1,XCC30638.1	XCC32709.1,XCC31788.1
29	58	0.389	XCB74641.1,XCB74931.1	XCB76719.1,XCB77011.1	XCB78705.1,XCB78991.1	XCB80690.1,XCB80982.1	XCB83031.1,XCB82743.1	XCB85067.1,XCB84780.1	XCB87081.1,XCB86708.1	XCB90200.1,XCB89118.1	XCB90848.1,XCB91135.1	XCB92755.1,XCB93125.1	XCB95145.1,XCB94854.1	XCB98289.1,XCB97543.1	XCB99190.1,XCB98900.1	XCC01227.1,XCC00934.1	XCC03304.1,XCC02865.1	XCC04968.1,XCC05328.1	XCC07351.1,XCC07061.1	XCC09396.1,XCC09105.1	XCC11522.1,XCC11137.1	XCC13475.1,XCC13185.1	XCC15585.1,XCC15309.1	XCC17342.1,XCC17631.1	XCC19244.1,XCC19622.1	XCC21599.1,XCC21321.1	XCC23303.1,XCC23674.1	XCC25659.1,XCC27107.1	XCC29126.1,XCC27666.1	XCC29707.1,XCC29336.1	XCC31773.1,XCC31361.1
29	58	0.366	XCB74655.1,XCB74986.1	XCB76733.1,XCB77705.1	XCB78718.1,XCB79046.1	XCB81018.1,XCB80703.1	XCB82754.1,XCB83065.1	XCB84792.1,XCB85121.1	XCB86722.1,XCB86808.1	XCB90187.1,XCB89165.1	XCB90861.1,XCB91190.1	XCB92851.1,XCB92767.1	XCB95200.1,XCB94866.1	XCB98195.1,XCB98276.1	XCB98912.1,XCB99243.1	XCC01214.1,XCC01910.1	XCC02898.1,XCC02986.1	XCC04979.1,XCC05062.1	XCC07385.1,XCC07073.1	XCC09118.1,XCC09451.1	XCC11148.1,XCC11253.1	XCC13197.1,XCC13510.1	XCC15322.1,XCC15642.1	XCC17353.1,XCC17681.1	XCC19258.1,XCC19343.1	XCC21333.1,XCC21653.1	XCC23317.1,XCC23403.1	XCC25296.1,XCC25380.1	XCC27338.1,XCC27424.1	XCC29433.1,XCC29349.1	XCC31375.1,XCC31459.1
29	58	0.366	XCB74656.1,XCB74987.1	XCB76734.1,XCB77704.1	XCB78719.1,XCB79047.1	XCB81019.1,XCB80704.1	XCB82755.1,XCB83066.1	XCB84793.1,XCB85122.1	XCB86723.1,XCB86809.1	XCB90186.1,XCB89166.1	XCB90862.1,XCB91191.1	XCB92852.1,XCB92768.1	XCB95201.1,XCB94867.1	XCB98194.1,XCB98275.1	XCB98913.1,XCB99244.1	XCC01213.1,XCC01909.1	XCC02899.1,XCC02987.1	XCC04980.1,XCC05063.1	XCC07386.1,XCC07074.1	XCC09119.1,XCC09452.1	XCC11149.1,XCC11254.1	XCC13198.1,XCC13511.1	XCC15323.1,XCC15643.1	XCC17354.1,XCC17682.1	XCC19259.1,XCC19344.1	XCC21334.1,XCC21654.1	XCC23318.1,XCC23404.1	XCC25297.1,XCC25381.1	XCC27339.1,XCC27425.1	XCC29434.1,XCC29350.1	XCC31376.1,XCC31460.1
29	58	0.196	XCB74899.1,XCB74759.1	XCB76979.1,XCB76838.1	XCB78822.1,XCB78960.1	XCB80948.1,XCB80807.1	XCB82999.1,XCB82859.1	XCB84898.1,XCB85035.1	XCB87052.1,XCB86913.1	XCB89086.1,XCB90076.1	XCB90967.1,XCB91104.1	XCB93097.1,XCB92955.1	XCB95113.1,XCB94972.1	XCB98089.1,XCB97578.1	XCB99019.1,XCB99158.1	XCC01109.1,XCC00966.1	XCC03273.1,XCC03092.1	XCC05296.1,XCC05158.1	XCC07319.1,XCC07183.1	XCC09364.1,XCC09224.1	XCC11493.1,XCC11354.1	XCC13442.1,XCC13303.1	XCC15555.1,XCC15415.1	XCC17460.1,XCC17599.1	XCC19448.1,XCC19588.1	XCC21568.1,XCC21429.1	XCC23640.1,XCC23501.1	XCC25628.1,XCC25486.1	XCC27634.1,XCC29219.1	XCC29676.1,XCC29539.1	XCC31741.1,XCC31560.1
